id,Make,Model,Aircraft.damage,Aircraft.Category,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Injury.Severity,Event.Date,Amateur.Built,Engine.Type,Weather.Condition,Number.of.Engines,Purpose.of.flight,Broad.phase.of.flight,total_passengers,likelihood_serious_fatal,Destroyed?
1161,Classic Aircraft Corp.,WACO YMF5,Substantial,Airplane,0.0,0.0,1.0,2.0,Non-Fatal,1994-06-19,No,Reciprocating,VMC,1.0,Business,Cruise,3.0,0.0,0
370,British Aerospace,BAE 3201,Substantial,Airplane,0.0,0.0,0.0,16.0,Non-Fatal,1994-06-24,No,Turbo Prop,VMC,2.0,Unknown,Taxi,16.0,0.0,0
640,Burkhart Grob,G-109B,Substantial,Airplane,1.0,0.0,0.0,0.0,Fatal(1),1994-06-27,No,Reciprocating,VMC,1.0,Personal,Maneuvering,1.0,1.0,0
260,Callair,A9B,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1994-07-01,No,Reciprocating,VMC,1.0,Aerial Application,Maneuvering,1.0,0.0,0
582,Siai-marchetti,F.260,Destroyed,Airplane,2.0,0.0,0.0,0.0,Fatal(2),1994-07-05,No,Reciprocating,VMC,1.0,Unknown,Maneuvering,2.0,1.0,1
818,Meyers Aircraft Co.,ME 200,Substantial,Airplane,0.0,0.0,2.0,0.0,Non-Fatal,1994-07-06,No,Reciprocating,VMC,1.0,Personal,Takeoff,2.0,0.0,0
889,Consolidated Aeronautics Inc.,PBY-5A,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1994-07-08,No,Reciprocating,VMC,2.0,Instructional,Takeoff,2.0,0.0,0
895,Pilatus,PC-6/B1-H2,Destroyed,Airplane,0.0,0.0,2.0,0.0,Non-Fatal,1994-07-09,No,Turbo Prop,VMC,1.0,Personal,Takeoff,2.0,0.0,1
800,Pezetel,M-18 DROMADER,Substantial,Airplane,0.0,0.0,1.0,0.0,Non-Fatal,1994-07-09,No,Reciprocating,VMC,1.0,Aerial Application,Maneuvering,1.0,0.0,0
112,Gates Learjet,35,Substantial,Airplane,0.0,0.0,0.0,10.0,Non-Fatal,1994-07-13,No,Turbo Fan,VMC,2.0,Unknown,Takeoff,10.0,0.0,0
703,Kaman,HH43F,Substantial,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1994-07-19,No,Turbo Shaft,VMC,1.0,Other Work Use,Maneuvering,1.0,1.0,0
301,"Smith, Ted Aerostar",AEROSTAR 601,Destroyed,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1994-07-24,No,Reciprocating,VMC,2.0,Personal,Cruise,1.0,1.0,1
403,Consolidated-vultee,BT-13A,Destroyed,Airplane,2.0,0.0,0.0,0.0,Fatal(2),1994-07-28,No,Reciprocating,VMC,1.0,Personal,Takeoff,2.0,1.0,1
937,Boeing Stearman,PT-13,Minor,Airplane,0.0,0.0,0.0,4.0,Non-Fatal,1994-07-31,No,Reciprocating,VMC,1.0,Unknown,Taxi,4.0,0.0,0
855,Naval Aircraft Factory,N3N-3,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1994-08-10,No,Reciprocating,VMC,1.0,Personal,Landing,2.0,0.0,0
384,Perth Amboy,BIRD BK,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1994-08-12,No,Reciprocating,VMC,1.0,Personal,Landing,2.0,0.0,0
164,Snow,600B,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1994-08-13,No,Reciprocating,VMC,1.0,Aerial Application,Landing,1.0,0.0,0
640,Burkhart Grob,G-109B,Substantial,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1994-08-14,No,Reciprocating,VMC,1.0,Personal,Takeoff,1.0,1.0,0
1005,Snow,S2C,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1994-08-17,No,Reciprocating,VMC,1.0,Ferry,Cruise,1.0,0.0,0
618,Fairchild Hiller,FH-1100,Destroyed,Airplane,2.0,0.0,0.0,0.0,Fatal(2),1994-08-18,No,Turbo Shaft,VMC,1.0,Personal,Descent,2.0,1.0,1
1158,Advanced Acft,WACO 10 GXE,Destroyed,Airplane,0.0,2.0,0.0,0.0,Non-Fatal,1994-08-24,No,Reciprocating,VMC,1.0,Personal,Takeoff,2.0,1.0,1
486,Dassault,DA 200,Substantial,Airplane,0.0,0.0,0.0,7.0,Non-Fatal,1994-08-26,No,Turbo Fan,VMC,2.0,Executive/corporate,Takeoff,7.0,0.0,0
377,Bede Aircraft,BD-10,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1994-08-27,No,Turbo Jet,VMC,1.0,Business,Takeoff,2.0,0.0,0
523,Eagle Aircraft Co.,DW-1,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1994-09-07,No,Reciprocating,VMC,1.0,Aerial Application,Maneuvering,1.0,0.0,0
456,Canadair,CL600,Substantial,Airplane,0.0,0.0,0.0,36.0,Non-Fatal,1994-09-08,No,Turbo Fan,VMC,2.0,Unknown,Taxi,36.0,0.0,0
709,Hawker Siddeley,HS-125-700A,Substantial,Airplane,0.0,0.0,0.0,4.0,Non-Fatal,1994-09-08,No,Turbo Fan,VMC,2.0,Executive/corporate,Takeoff,4.0,0.0,0
56,Wdl,1B,Substantial,Airplane,0.0,0.0,0.0,3.0,Non-Fatal,1994-09-11,No,Reciprocating,VMC,2.0,Aerial Observation,Approach,3.0,0.0,0
242,Alon,A2,Destroyed,Airplane,1.0,0.0,0.0,0.0,Fatal(1),1994-09-17,No,Reciprocating,VMC,1.0,Personal,Maneuvering,1.0,1.0,1
986,Artic Aircraft Corp.,S-1B2,Substantial,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1994-09-18,No,Reciprocating,VMC,1.0,Personal,Takeoff,1.0,1.0,0
24,Monocoupe Aircraft,110 SPECIAL,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1994-10-07,No,Reciprocating,VMC,1.0,Personal,Descent,1.0,0.0,0
